,G1,G2,G3,failures,Dalc,Walc,goout,Fedu,Medu
0,16,15,15,0,1,2,3,3,4
1,6,5,0,3,2,5,5,1,1
2,10,11,12,0,2,3,3,4,4
3,7,6,6,0,1,1,4,2,3
4,13,14,14,0,1,1,3,3,2
5,9,9,8,0,2,3,3,3,3
6,6,5,5,0,1,3,5,2,1
7,10,11,11,0,2,3,4,4,4
8,11,11,10,0,2,5,4,4,3
9,16,16,17,0,1,1,1,3,2
10,14,14,14,0,1,2,4,4,4
11,7,6,7,0,1,3,3,1,2
12,13,13,14,0,2,3,3,2,3
13,7,8,0,0,2,3,2,2,3
14,10,12,11,0,5,5,5,4,4
15,7,10,11,1,1,2,3,2,2
16,9,8,0,1,1,2,1,2,2
17,9,9,10,0,1,4,2,1,1
18,8,7,8,3,3,3,4,1,1
19,11,11,10,0,2,2,1,4,4
20,7,6,6,0,1,1,5,2,3
21,15,14,13,1,1,1,4,3,3
22,12,13,13,0,2,3,3,2,2
23,7,7,0,1,3,5,4,2,2
24,12,12,11,0,1,1,4,2,2
25,16,12,13,0,3,3,2,2,1
26,8,8,6,0,1,1,2,3,4
27,9,10,10,0,1,1,3,2,2
28,10,13,13,0,4,4,4,3,3
29,8,9,10,0,1,1,5,1,2
30,7,7,8,0,1,3,3,3,3
31,14,15,15,0,1,1,2,4,4
32,14,12,11,0,4,2,2,4,4
33,16,15,16,0,1,2,2,3,4
34,5,5,6,0,1,1,3,1,1
35,12,14,15,0,2,3,3,1,3
36,7,8,8,0,1,1,2,2,2
37,16,17,18,0,1,3,5,3,4
38,7,0,0,0,1,1,4,3,3
39,18,19,19,0,1,1,3,4,4
40,10,10,10,2,2,3,1,3,3
41,7,9,0,0,1,1,2,3,4
42,7,0,0,0,1,1,4,1,2
43,10,9,0,0,1,1,1,2,2
44,12,13,14,0,1,1,4,2,2
45,9,9,9,0,1,4,4,4,4
46,10,11,10,0,1,2,3,3,4
47,14,13,13,0,5,5,2,2,2
48,6,7,0,3,1,1,2,2,3
49,8,9,8,0,1,3,2,1,2
50,15,16,15,0,2,4,4,2,4
51,9,10,10,0,2,3,2,1,1
52,8,7,9,0,1,3,3,3,3
53,13,15,15,0,1,1,2,1,3
54,10,10,11,0,1,1,3,3,4
55,16,16,16,0,2,3,2,1,3
56,8,10,10,0,1,3,3,3,2
57,8,0,0,0,1,2,3,1,1
58,12,12,11,0,1,2,2,2,2
59,8,8,0,0,1,1,3,2,2
60,8,9,10,0,1,5,3,2,1
61,15,14,14,0,1,4,4,4,4
62,14,15,15,0,1,1,2,3,4
63,11,0,0,0,1,1,3,4,4
64,16,18,18,0,1,1,3,3,3
65,10,8,9,0,3,4,3,2,4
66,13,13,14,0,1,1,2,4,4
67,11,10,10,0,1,2,3,3,2
68,5,5,5,0,1,2,3,4,3
69,14,16,16,0,1,1,2,2,2
70,5,0,0,3,1,2,5,1,2
71,12,14,14,0,1,1,3,4,2
72,18,18,19,0,1,2,3,2,2
73,16,18,19,0,1,1,2,2,3
74,10,9,0,0,1,1,4,2,2
75,11,11,11,0,1,1,1,3,4
76,13,13,13,0,1,2,2,3,4
77,10,10,11,0,1,2,3,3,4
78,14,15,15,0,1,1,2,4,2
79,8,8,8,0,2,4,4,1,4
80,16,15,15,0,2,3,3,2,0
81,16,15,16,0,2,2,2,4,4
82,6,9,8,1,2,5,5,1,2
83,6,5,0,1,1,1,4,1,1
84,17,16,16,0,1,1,2,3,4
85,10,10,11,0,1,1,5,2,2
86,8,9,10,0,3,4,2,3,3
87,12,12,13,0,4,5,5,4,4
88,11,12,11,0,2,4,3,3,3
89,13,11,11,0,1,3,5,3,4
90,14,12,13,0,1,1,1,1,2
91,6,5,0,1,1,1,1,1,1
92,12,13,12,0,1,2,2,2,3
93,15,14,14,0,2,2,2,2,1
94,11,11,10,0,1,3,2,3,3
95,14,13,13,0,1,2,3,4,3
96,12,12,11,0,1,2,3,2,3
97,9,10,10,0,2,3,3,2,3
98,14,15,15,0,1,1,1,4,3
99,7,10,11,0,1,1,2,4,3
100,6,8,8,1,2,4,5,2,3
101,11,8,8,0,1,1,4,3,2
102,12,10,12,0,1,2,3,1,2
103,11,10,10,0,1,1,3,2,4
104,5,8,7,3,1,5,5,1,1
105,12,11,11,0,1,4,2,2,4
106,7,7,6,0,1,2,3,1,3
107,13,12,12,1,2,3,3,1,1
108,8,8,0,0,1,2,3,1,2
109,7,6,0,0,2,1,2,4,4
110,12,11,11,0,1,4,1,4,3
111,11,11,10,1,3,4,5,2,4
112,8,12,12,0,2,4,2,1,2
113,12,12,12,0,1,1,2,1,1
114,10,10,9,0,2,3,5,3,4
115,9,7,6,0,1,1,2,1,1
116,6,6,4,2,2,4,5,3,4
117,15,14,14,0,1,3,4,1,2
118,13,11,11,0,1,1,3,2,2
119,12,13,13,0,5,5,3,2,2
120,16,15,17,0,1,1,3,3,3
121,8,6,7,0,3,5,3,4,4
122,18,18,18,1,2,3,4,4,4
123,11,9,10,0,1,3,3,2,3
124,10,9,0,0,2,3,4,4,4
125,11,10,10,0,1,2,3,3,2
126,8,7,6,0,1,1,1,3,2
127,14,15,16,0,1,1,5,4,4
128,11,13,14,0,1,1,3,4,4
129,14,12,12,0,2,3,3,2,1
130,7,10,10,0,1,3,3,3,3
131,15,12,12,1,1,2,3,3,3
132,8,7,6,0,1,2,4,2,2
133,9,9,10,0,3,5,4,3,3
134,11,9,10,1,3,4,4,2,3
135,10,10,10,0,2,4,4,3,4
136,13,10,11,1,1,2,2,2,3
137,9,10,9,0,1,1,4,3,4
138,10,11,11,0,1,1,3,3,3
139,14,11,13,0,1,4,4,4,4
140,12,12,11,0,2,3,4,3,3
141,11,9,9,0,1,3,5,4,4
142,7,0,0,1,2,4,4,2,1
143,8,9,9,0,3,3,3,1,1
144,9,9,10,0,2,3,3,3,4
145,9,8,7,1,1,1,3,1,3
146,7,9,8,0,1,1,4,1,3
147,7,7,7,3,2,2,3,1,3
148,10,8,9,0,4,5,2,1,2
149,16,14,15,0,1,2,4,2,2
150,8,7,8,1,2,3,3,3,1
