,school,sex,age,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,traveltime,studytime,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,health,absences,G3
0,GP,F,16,U,LE3,T,teacher,services,course,mother,3,2,no,yes,no,yes,yes,yes,yes,no,5,4,1,2,15
1,GP,M,18,U,LE3,T,other,other,course,mother,1,1,no,no,no,no,yes,no,yes,yes,2,3,4,0,0
2,GP,M,17,R,LE3,A,teacher,other,course,mother,2,2,no,yes,yes,no,yes,yes,yes,no,3,3,4,2,12
3,GP,F,15,U,LE3,T,services,other,reputation,mother,1,2,no,yes,yes,no,yes,yes,yes,no,4,4,5,10,6
4,GP,M,16,U,GT3,T,other,other,home,father,2,1,no,no,no,no,yes,yes,yes,no,5,3,3,0,14
5,GP,F,17,U,LE3,T,other,other,reputation,mother,1,2,no,yes,no,yes,yes,yes,yes,yes,5,3,1,56,8
6,MS,F,17,R,GT3,T,other,other,course,mother,1,1,no,no,no,yes,yes,yes,yes,no,3,5,1,14,5
7,GP,F,16,R,GT3,T,health,teacher,other,mother,1,2,no,yes,no,yes,yes,yes,no,no,2,4,4,6,11
8,GP,F,17,R,GT3,T,at_home,services,course,father,1,3,no,yes,yes,yes,no,yes,yes,no,4,3,5,0,10
9,GP,F,16,U,GT3,T,services,teacher,other,mother,1,2,yes,no,no,no,yes,yes,yes,no,2,3,3,2,17
10,GP,F,16,U,GT3,T,health,other,home,mother,1,1,no,yes,no,no,yes,yes,yes,no,4,4,2,4,14
11,MS,M,18,R,GT3,T,other,other,other,mother,2,1,no,no,no,yes,no,yes,yes,yes,4,4,5,5,7
12,GP,F,18,U,GT3,T,other,services,other,mother,1,3,no,no,no,no,yes,yes,yes,yes,5,4,1,7,14
13,GP,F,17,U,GT3,T,other,other,home,mother,1,2,no,yes,yes,no,yes,yes,yes,yes,4,3,2,0,0
14,GP,M,16,U,GT3,T,teacher,teacher,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,16,11
15,GP,F,16,U,LE3,T,other,other,home,mother,2,2,no,yes,no,yes,no,yes,yes,yes,3,3,3,25,11
16,GP,F,17,U,GT3,A,at_home,at_home,home,father,1,2,no,yes,no,no,yes,yes,yes,yes,3,3,4,0,0
17,GP,F,16,U,GT3,T,at_home,other,home,mother,2,1,no,yes,yes,no,yes,yes,no,no,4,3,5,6,10
18,MS,M,19,R,GT3,T,other,services,home,other,3,2,no,no,no,no,yes,yes,yes,no,5,4,2,8,8
19,GP,M,17,U,LE3,T,other,teacher,home,father,2,1,no,no,yes,no,yes,yes,yes,no,4,1,5,0,10
20,GP,F,15,U,GT3,T,services,other,home,mother,2,2,yes,yes,yes,no,yes,yes,yes,no,4,3,2,26,6
21,GP,M,19,U,GT3,T,other,other,home,other,1,2,no,yes,no,yes,yes,yes,yes,yes,4,4,3,20,13
22,GP,F,16,U,LE3,T,services,services,course,mother,3,2,no,yes,yes,no,yes,yes,yes,no,4,3,4,2,13
23,GP,M,18,U,GT3,T,other,services,reputation,father,1,2,no,no,no,no,yes,no,yes,no,5,5,2,0,0
24,GP,M,16,U,LE3,T,other,other,home,mother,1,2,no,no,no,no,yes,yes,yes,no,4,4,3,0,11
25,GP,M,17,R,LE3,T,other,other,reputation,mother,1,1,no,no,no,no,yes,yes,no,no,2,2,5,8,13
26,GP,F,15,U,LE3,A,other,other,course,mother,1,2,yes,yes,yes,yes,yes,yes,yes,yes,5,2,5,8,6
27,GP,F,17,U,GT3,T,at_home,at_home,course,mother,1,3,no,yes,yes,yes,yes,yes,yes,no,4,3,4,4,10
28,GP,F,15,U,LE3,A,other,other,other,mother,1,1,no,no,yes,no,yes,yes,yes,no,5,3,1,6,13
29,GP,F,16,U,GT3,T,other,other,course,mother,1,2,no,yes,yes,no,yes,yes,no,yes,4,3,5,2,10
30,GP,F,16,U,GT3,T,other,other,home,mother,1,3,no,yes,yes,no,yes,yes,yes,yes,4,3,4,0,8
31,GP,M,15,U,GT3,T,teacher,health,reputation,mother,1,2,no,yes,no,yes,yes,yes,no,no,3,2,5,4,15
32,MS,F,18,R,GT3,T,other,teacher,other,father,3,2,no,yes,yes,no,no,yes,yes,yes,3,2,5,10,11
33,GP,M,18,R,GT3,T,teacher,services,course,mother,1,3,no,no,no,no,yes,yes,yes,yes,5,3,4,9,16
34,GP,F,17,U,GT3,T,at_home,other,course,father,1,2,no,yes,no,no,no,yes,yes,no,5,3,3,4,6
35,GP,F,17,U,GT3,T,services,services,course,father,1,3,no,yes,no,no,no,yes,yes,no,3,4,5,1,15
36,GP,F,15,U,GT3,T,other,other,course,mother,1,4,yes,yes,yes,no,yes,yes,yes,no,5,1,3,8,8
37,GP,F,15,U,GT3,T,services,other,reputation,mother,1,1,no,no,yes,yes,yes,yes,yes,no,4,5,1,4,18
38,GP,F,18,U,GT3,T,services,services,home,mother,1,2,no,no,no,yes,yes,yes,yes,no,5,3,4,0,0
39,GP,M,15,U,LE3,A,teacher,teacher,course,mother,1,1,no,no,no,yes,yes,yes,yes,no,5,5,4,6,19
40,GP,F,15,R,GT3,T,services,services,reputation,other,2,3,no,yes,yes,yes,yes,yes,yes,yes,4,2,3,8,10
41,GP,M,15,U,GT3,T,teacher,services,course,father,2,4,yes,yes,no,no,yes,yes,yes,no,2,2,3,0,0
42,GP,F,18,U,GT3,T,other,other,course,other,2,3,no,yes,yes,no,no,yes,yes,yes,4,4,3,0,0
43,GP,F,17,U,LE3,T,services,services,course,father,1,4,no,no,yes,yes,yes,yes,yes,yes,3,4,2,0,0
44,GP,F,16,U,GT3,A,other,other,reputation,mother,1,2,yes,yes,yes,no,yes,yes,yes,no,3,3,4,0,14
45,GP,M,18,U,GT3,T,teacher,services,home,mother,2,1,no,no,yes,yes,yes,yes,yes,no,3,2,3,22,9
46,GP,M,18,U,LE3,T,teacher,services,course,mother,2,1,no,no,yes,yes,yes,yes,yes,no,4,2,1,8,10
47,GP,M,17,U,LE3,T,other,other,home,father,1,2,no,no,yes,yes,no,yes,yes,yes,4,4,4,4,13
48,GP,F,15,U,GT3,T,health,services,home,father,1,2,no,yes,no,no,yes,yes,yes,no,3,3,3,0,0
49,GP,M,16,R,GT3,T,other,other,course,mother,2,1,no,no,no,yes,no,yes,no,no,3,3,3,0,8
50,GP,M,15,U,GT3,T,health,services,other,mother,1,1,no,no,yes,no,yes,yes,yes,no,2,2,1,4,15
51,GP,F,15,U,GT3,T,other,other,home,father,1,2,no,yes,no,yes,no,yes,yes,no,4,3,4,2,10
52,GP,F,17,U,GT3,A,health,other,reputation,mother,1,2,no,yes,no,no,no,yes,yes,yes,3,3,3,6,9
